"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"758","F",15,0,0,0,NA,NA
"759","F",1,0,0,0,0,0
"760","M",16,0,0,0,NA,NA
"761","F",3,0,0,0,0,0
"762","F",11,0,0,0,0,NA
"763","M",1,0,0,0,0,0
"764","M",2,0,0,0,0,0
"765","F",2,0,0,0,0,0
"766","M",1,0,0,0,0,0
"767","F",12,0,0,0,0,NA
"768","F",1,1,1,1,1,1
"769","M",2,0,0,0,0,0
"770","F",1,0,0,0,0,0
"771","F",12,0,0,0,0,NA
"772","M",6,0,0,0,0,0
"773","F",14,0,0,0,NA,NA
"774","F",8,0,0,0,0,0
"775","F",1,0,0,0,0,0
"776","M",7,0,0,0,0,0
"777","F",11,1,1,0,0,NA
"778","M",12,0,0,0,0,NA
"779","M",1,0,0,0,0,0
"780","F",12,1,1,1,1,NA
"781","M",3,0,0,0,0,0
"782","F",13,0,0,0,NA,NA
"783","F",1,0,0,0,0,0
"784","M",1,0,0,0,0,0
"785","F",1,0,0,0,0,0
"786","F",4,0,0,0,0,0
"787","M",1,0,0,0,0,0
"788","F",6,0,0,0,0,0
"789","F",6,0,0,0,0,0
"790","M",3,0,0,0,0,0
"791","M",1,1,0,0,0,0
"792","F",4,1,1,0,0,0
"793","F",1,0,0,0,0,0
"794","F",2,0,0,0,0,0
